Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,2.724210,2.724210,1.912410,2.118180,2.118180,27988705
2015-01-08,2.115610,2.123500,1.113740,1.157010,1.157010,20867970
2015-01-15,1.153240,1.472780,1.152540,1.373310,1.373310,12355811
2015-01-22,1.374270,2.385360,1.374270,1.872020,1.872020,33566950
2015-01-29,1.876630,1.984380,1.679150,1.792350,1.792350,15927780
2015-02-05,1.794740,1.827460,1.687290,1.727440,1.727440,13447162
2015-02-12,1.730810,2.029530,1.716750,1.828160,1.828160,15233760
2015-02-19,1.825210,1.866360,1.780920,1.802340,1.802340,7812766
2015-02-26,1.808100,1.973650,1.793200,1.930500,1.930500,13705944
2015-03-05,1.924480,2.083450,1.864440,2.026280,2.026280,14900690
2015-03-12,2.023580,2.071730,1.728640,1.742540,1.742540,12192710
2015-03-19,1.743650,1.799680,1.611170,1.673140,1.673140,11500250
2015-03-26,1.672720,1.730880,1.630360,1.664630,1.664630,8518425
2015-04-02,1.666890,1.715850,1.618020,1.627500,1.627500,7571219
2015-04-09,1.619590,1.631300,1.336220,1.383000,1.383000,9071560
2015-04-16,1.383240,1.472480,1.373020,1.454190,1.454190,7089331
2015-04-23,1.455310,1.463040,1.304020,1.361320,1.361320,7748866
2015-04-30,1.360980,1.454570,1.358120,1.388900,1.388900,9484268
2015-05-07,1.389730,1.491810,1.383050,1.451420,1.451420,8966323
2015-05-14,1.450040,1.464430,1.399560,1.459190,1.459190,5048565
2015-05-21,1.460750,1.904140,1.455970,1.845020,1.845020,15067700
2015-05-28,1.847000,1.855970,1.593390,1.687180,1.687180,10995110
2015-06-04,1.686670,1.803030,1.663730,1.759240,1.759240,9288860
2015-06-11,1.759150,3.195350,1.757660,2.888620,2.888620,31598814
2015-06-18,2.890330,3.129080,2.686580,2.778630,2.778630,32325940
2015-06-25,2.772780,4.343310,2.687810,3.924270,3.924270,48959980
2015-07-02,3.926640,6.388620,3.922680,6.361120,6.361120,88353000
2015-07-09,6.356450,8.727480,3.705330,4.214090,4.214090,171137890
2015-07-16,4.197480,4.267720,3.299720,3.823660,3.823660,51480630
2015-07-23,3.825540,5.136690,3.759730,4.797680,4.797680,57690670
2015-07-30,4.792620,4.792620,3.858910,4.349220,4.349220,35679960
2015-08-06,4.349000,4.362230,3.811390,3.985450,3.985450,25240880
2015-08-13,3.972270,4.067310,3.358540,3.477820,3.477820,22276320
2015-08-20,3.470810,3.643090,2.543790,2.946510,2.946510,31817830
2015-08-27,2.946140,2.990200,2.705220,2.795450,2.795450,14878180
2015-09-03,2.796690,3.128620,2.579970,2.923920,2.923920,17719600
